         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 enum.py:978(_find_data_type_)
      136    0.000    0.000    0.016    0.000 enum.py:353(__setitem__)
      136    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
      406    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      406    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
       37    0.000    0.000    0.000    0.000 enum.py:485(__new__)
      134    0.000    0.000    0.000    0.000 :0(setdefault)
      705    0.000    0.000    0.000    0.000 :0(items)
       17    0.000    0.000    0.000    0.000 enum.py:1006(_find_new_)
       34    0.000    0.000    0.000    0.000 enum.py:772(__getattr__)
       82    0.000    0.000    0.000    0.000 enum.py:234(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:964(_find_data_repr_)
       21    0.000    0.000    0.000    0.000 :0(bit_length)
       82    0.000    0.000    0.000    0.000 enum.py:237(__set_name__)
      158    0.000    0.000    0.000    0.000 :0(delattr)
      150    0.000    0.000    0.000    0.000 enum.py:747(__delattr__)
      348    0.000    0.000    0.000    0.000 enum.py:1144(__init__)
      369    0.000    0.000    0.000    0.000 :0(issubclass)
      449    0.000    0.000    0.000    0.000 enum.py:828(__setattr__)
       81    0.000    0.000    0.000    0.000 __init__.py:23(decorator)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:47(ComplexWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:58(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:74(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(TooHardError)
        1    0.000    0.000    0.000    0.000 exceptions.py:98(AxisError)
        1    0.000    0.000    0.000    0.000 exceptions.py:189(DTypePromotionError)
      810    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   642/44    0.000    0.000    6.406    0.146 :0(__import__)
        2    0.000    0.000    0.047    0.023 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        1    0.000    0.000    0.031    0.031 __init__.py:32(__enter__)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
  126/122    0.000    0.000    0.219    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
   126/95    0.000    0.000    0.562    0.006 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       38    0.000    0.000    0.000    0.000 :0(sizeof)
       18    0.000    0.000    0.000    0.000 :0(calcsize)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:212(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:216(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:261(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:321(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:399(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:408(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:417(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:430(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:439(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:440(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:342(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:370(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:443(__getattr__)
        1    0.000    0.000    0.000    0.000 :0(LoadLibrary)
        1    0.000    0.000    0.000    0.000 __init__.py:386(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:393(__getitem__)
        7    0.000    0.000    0.000    0.000 __init__.py:72(CFUNCTYPE)
        7    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:503(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:504(CFunctionType)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:34(_swapped_struct_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:35(_swapped_union_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:48(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _endian.py:55(BigEndianUnion)
        1    0.000    0.000    0.000    0.000 __init__.py:264(_reset_cache)
       16    0.000    0.000    0.000    0.000 :0(clear)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:12(Number)
       60    0.000    0.000    0.016    0.000 <frozen abc>:105(__new__)
       60    0.000    0.000    0.000    0.000 :0(_abc_init)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
      105    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       19    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       19    0.000    0.000    0.000    0.000 :0(_abc_register)
    49/22    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    49/22    0.000    0.000    0.000    0.000 :0(_abc_subclasscheck)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        2    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
        8    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        8    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
       50    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
       19    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
        3    0.000    0.000    0.047    0.016 version.py:1(<module>)
